"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\components\UpperFilter\index.js", "JavaScript", 19, 0, 16, 35
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\components\UpperFilter\styles.js", "JavaScript", 27, 0, 20, 47
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\index.js", "JavaScript", 60, 0, 33, 93
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\styles.js", "JavaScript", 20, 0, 13, 33
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\Feed\index.js", "JavaScript", 23, 0, 9, 32
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\Feed\styles.js", "JavaScript", 0, 0, 1, 1
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\Thread\Body\index.js", "JavaScript", 14, 0, 22, 36
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\Thread\Body\styles.js", "JavaScript", 29, 0, 15, 44
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\Thread\Footer\index.js", "JavaScript", 19, 0, 17, 36
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\Thread\Footer\styles.js", "JavaScript", 26, 0, 12, 38
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\Thread\Header\index.js", "JavaScript", 19, 0, 27, 46
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\Thread\Header\styles.js", "JavaScript", 37, 0, 25, 62
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\Thread\index.js", "JavaScript", 24, 0, 14, 38
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\Thread\styles.js", "JavaScript", 16, 0, 10, 26
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\UpperFilter\index.js", "JavaScript", 19, 0, 16, 35
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\components\UpperFilter\styles.js", "JavaScript", 26, 0, 20, 46
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\index.js", "JavaScript", 29, 0, 18, 47
"c:\Users\odinh\pitch-it\Frontend\screens\ForumScreen\styles.js", "JavaScript", 28, 0, 11, 39
"c:\Users\odinh\pitch-it\Frontend\screens\LoginScreen\components\Button\index.js", "JavaScript", 11, 0, 5, 16
"c:\Users\odinh\pitch-it\Frontend\screens\LoginScreen\components\Button\styles.js", "JavaScript", 13, 0, 6, 19
"c:\Users\odinh\pitch-it\Frontend\screens\LoginScreen\index.js", "JavaScript", 63, 0, 23, 86
"c:\Users\odinh\pitch-it\Frontend\screens\LoginScreen\styles.js", "JavaScript", 21, 0, 7, 28
"c:\Users\odinh\pitch-it\Frontend\screens\ProfileScreen\FloatingContainer\components\ProfileInformation\Footer\index.js", "JavaScript", 111, 0, 56, 167
"c:\Users\odinh\pitch-it\Frontend\screens\ProfileScreen\FloatingContainer\components\ProfileInformation\Footer\styles.js", "JavaScript", 70, 0, 44, 114
"c:\Users\odinh\pitch-it\Frontend\screens\ProfileScreen\FloatingContainer\components\ProfileInformation\Header\index.js", "JavaScript", 51, 0, 28, 79
"c:\Users\odinh\pitch-it\Frontend\screens\ProfileScreen\FloatingContainer\components\ProfileInformation\Header\styles.js", "JavaScript", 62, 0, 39, 101
"c:\Users\odinh\pitch-it\Frontend\screens\ProfileScreen\FloatingContainer\components\ProfileInformation\index.js", "JavaScript", 23, 0, 15, 38
"c:\Users\odinh\pitch-it\Frontend\screens\ProfileScreen\FloatingContainer\components\ProfileInformation\styles.js", "JavaScript", 0, 0, 1, 1
"c:\Users\odinh\pitch-it\Frontend\screens\ProfileScreen\FloatingContainer\index.js", "JavaScript", 40, 0, 21, 61
"c:\Users\odinh\pitch-it\Frontend\screens\ProfileScreen\FloatingContainer\styles.js", "JavaScript", 0, 0, 1, 1
"c:\Users\odinh\pitch-it\Frontend\screens\ProfileScreen\index.js", "JavaScript", 88, 0, 56, 144
"c:\Users\odinh\pitch-it\Frontend\screens\ProfileScreen\styles.js", "JavaScript", 42, 0, 18, 60
"c:\Users\odinh\pitch-it\Frontend\screens\SearchScreen\components\SearchBox\index.js", "JavaScript", 15, 0, 9, 24
"c:\Users\odinh\pitch-it\Frontend\screens\SearchScreen\components\SearchBox\styles.js", "JavaScript", 17, 0, 11, 28
"c:\Users\odinh\pitch-it\Frontend\screens\SearchScreen\components\Users\UserItem\index.js", "JavaScript", 23, 0, 16, 39
"c:\Users\odinh\pitch-it\Frontend\screens\SearchScreen\components\Users\UserItem\styles.js", "JavaScript", 39, 0, 26, 65
"c:\Users\odinh\pitch-it\Frontend\screens\SearchScreen\components\Users\index.js", "JavaScript", 29, 0, 20, 49
"c:\Users\odinh\pitch-it\Frontend\screens\SearchScreen\components\Users\styles.js", "JavaScript", 0, 0, 1, 1
"c:\Users\odinh\pitch-it\Frontend\screens\SearchScreen\index.js", "JavaScript", 52, 0, 30, 82
"c:\Users\odinh\pitch-it\Frontend\screens\SearchScreen\styles.js", "JavaScript", 22, 0, 11, 33
"c:\Users\odinh\pitch-it\Frontend\screens\SigninScreen\components\Button\index.js", "JavaScript", 11, 0, 6, 17
"c:\Users\odinh\pitch-it\Frontend\screens\SigninScreen\components\Button\styles.js", "JavaScript", 13, 0, 6, 19
"c:\Users\odinh\pitch-it\Frontend\screens\SigninScreen\index.js", "JavaScript", 64, 0, 18, 82
"c:\Users\odinh\pitch-it\Frontend\screens\SigninScreen\styles.js", "JavaScript", 21, 0, 4, 25
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\components\CreatorsList\CreatorsView\index.js", "JavaScript", 17, 0, 17, 34
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\components\CreatorsList\CreatorsView\styles.js", "JavaScript", 32, 0, 14, 46
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\components\CreatorsList\index.js", "JavaScript", 33, 0, 6, 39
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\components\CreatorsList\styles.js", "JavaScript", 29, 0, 12, 41
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\components\FeedOrForum\index.js", "JavaScript", 42, 0, 33, 75
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\components\FeedOrForum\styles.js", "JavaScript", 8, 0, 14, 22
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\components\ListTopPictures\Picture\index.js", "JavaScript", 35, 0, 9, 44
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\components\ListTopPictures\Picture\styles.js", "JavaScript", 53, 0, 34, 87
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\components\ListTopPictures\index.js", "JavaScript", 60, 1, 32, 93
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\components\ListTopPictures\styles.js", "JavaScript", 25, 0, 11, 36
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\index.js", "JavaScript", 71, 0, 41, 112
"c:\Users\odinh\pitch-it\Frontend\screens\StartScreen\styles.js", "JavaScript", 22, 0, 11, 33
"Total", "-", 2487, 3, 1522, 4012
